db	Reg	Nro	campo	descri	tipo	tam	dec
lasimca	0300	6	inc	Informar o Inciso do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS, se existir.	C	-	-
lasimca	0300	7	alin	Informar a Alínea do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS, se existir.	C	-	-
lasimca	0300	8	prg	Informar o Parágrafo do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS, se existir.	C	-	-
lasimca	0300	9	itm	Informar o Item do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS, se existir.	C	-	-
lasimca	0300	10	ltr	Informar a letra do RICMS referente ao enquadramento legal da operação ou prestação geradora do crédito acumulado do ICMS, se existir.	C	-	-
lasimca	0300	11	obs	Informação  complementar  referente  ao  enquadramento  legal  da operação ou prestação geradora do crédito acumulado do ICMS.	C	-	-
lasimca	0990	1	reg	Texto fixo contendo "0990"	C	4	-
lasimca	0990	2	qtd_lin_0	Quantidade total de linhas do Bloco 0	N	-	-
lasimca	5001	1	reg	Texto fixo contendo "5001"	C	4	-
lasimca	5001	2	ind_mov	"Indicador de movimento: 0-       Bloco com dados informados. 1-       Bloco com dados informados"	N	1	-
lasimca	5315	1	reg	Texto fixo contendo "5315".	C	4	-
lasimca	5315	3	dt_emissao	Data da emissão do documento fiscal.	N	8	-
lasimca	5315	4	tip_doc	Tipo do documento conforme a coluna Código Chave da tabela 4.1	N	2	-
lasimca	5315	5	ser	Série do documento.	C	-	-
lasimca	5315	6	num_doc	Número do documento	C	-	-
lasimca	5315	7	cod_part	Código numérico de identificação do participante no arquivo	N	-	-
lasimca	5315	8	valor_sai	Valor de Saída	N	-	2
lasimca	5315	9	perc_crdout	Percentual de Crédito Outorgado	N	-	2
lasimca	5315	10	valor_crdout	Valor do Crédito Outorgado	N	-	2
lasimca	5320	1	reg	Texto fixo contendo "5320".	C	4	-
lasimca	5320	2	dt_sai	Data da emissão do documento fiscal que acobertou a operação original.	N	8	-
lasimca	5320	3	tip_doc	Tipo do documento que acobertou a operação original, utilizar a coluna Código Chave da tabela 4.1.	N	2	-
lasimca	5320	4	ser	Série do documento que acobertou a operação original.	C	-	-
lasimca	5320	5	num_doc	Número do documento que acobertou a operação original.	N	-	-
lasimca	5325	1	reg	Texto fixo contendo "5325".	C	4	-
lasimca	5325	2	cod_legal	Código do Enquadramento Legal conforme registro 0300.	N	4	-
lasimca	5325	3	iva_utilizado	IVA - Índice de Valor Acrescido considerado no cálculo do custo estimado da operação ou prestação geradora conforme a legislação vigente.	N	-	4
lasimca	5325	4	per_med_icms	Percentual Médio de Crédito do Imposto – é a alíquota média das entradas das mercadorias, insumos e serviços recebidos relacio- nados às saídas geradoras de crédito acumulado, obtida conforme legislação vigente, informar utilizando o formato percentual.	N	-	4
lasimca	5325	5	cred_est_icms	Crédito estimado do ICMS	N	-	2
lasimca	5325	6	icms_gera	Crédito Acumulado Gerado na operação	N	-	2
lasimca	5330	1	reg	Texto fixo contendo "5330".	C	4	-
lasimca	5330	2	valor_bc	Base de Cálculo da operação de saída.	N	-	2
lasimca	5330	3	icms_deb	ICMS debitado na operação de saída .	N	-	2
lasimca	5335	1	reg	Texto fixo contendo "5335".	C	4	-
lasimca	5335	2	num_decl_exp	Número da Declaração para Despacho de Exportação ou Decla- ração Simplificada de Exportação	C	-	-
lasimca	5335	3	comp_oper	"Comprovação da Operação – preencher com: 0 – Sim 1 – Não"	N	1	-
lasimca	5340	1	reg	Texto fixo contendo "5340".	C	4	-
lasimca	5340	2	data_doc_ind	Data de emissão do documento fiscal do exportador	N	8	-
lasimca	5340	3	num_doc_ind	Número do documento fiscal do exportador	N	-	-
lasimca	5340	4	ser_doc_ind	Série do documento fiscal do exportador	C	-	-
lasimca	5340	5	num_decl_exp_ind	Número da Declaração para Despacho de Exportação ou Decla- ração Simplificada de Exportação do estabelecimento exportador	C	-	-
lasimca	5350	1	reg	Texto fixo contendo "5350".	C	4	-
lasimca	5350	2	valor_bc	Base de Cálculo da operação de saída.	N	-	2
lasimca	5350	3	icms_deb	ICMS debitado da operação de saída.	N	-	2
lasimca	5350	4	num_decl_exp_ind	Número da Declaração para Despacho de Exportação ou Declaração Simplificada de Exportação do estabele- cimento exportador	C	-	-
lasimca	5990	1	reg	Texto fixo contendo "5990"	C	4	-
lasimca	5990	2	qtd_lin_c	Quantidade total de linhas do Bloco 5	N	-	-
lasimca	9001	1	reg	Texto fixo contendo "9001"	C	4	-
lasimca	9001	2	ind_mov	"Indicador de movimento: 0- Bloco com dados informados;"	N	1	-
lasimca	9900	1	reg	Texto fixo contendo "9900"	C	4	-
lasimca	9900	2	reg_blc	Registro que será totalizado no próximo campo	C	4	-
lasimca	9900	3	qtd_reg_blc	Total de registros do tipo informado no campo anterior	N	-	-
lasimca	9990	1	reg	Texto fixo contendo "9990"	C	4	-
lasimca	9990	2	qtd_lin_9	Quantidade total de linhas do Bloco 9	N	-	-
lasimca	9999	1	reg	Texto fixo contendo "9999"	C	4	-
lasimca	9999	2	qtd_lin	Quantidade total de linhas do arquivo digital	N	-	-
